"genutzte_infrastruktur";"jahr";"anzahl_gerate";"anzahl_untersuchungen_total";"anzahl_ambulante_untersuchungen";"anzahl_stationare_untersuchungen";"spatialunit_uid"
"Dialysegeräte";"2019";"11";"3129";"2980";"149";"15_A.ADM1"
"Gamma Camera (inklusive Szintigraphie und SPECT-Scanner)";"2019";"0";"0";"0";"0";"26_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2019";"3";"650";"650";"0";"10_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2013";"5";"37702";"33579";"4123";"12_A.ADM1"
"Gamma Camera (inklusive Szintigraphie und SPECT-Scanner)";"2016";"2";"2452";"2232";"220";"24_A.ADM1"
"MRI";"2019";"1";"2236";"2149";"87";"6_A.ADM1"
"PET Scanner";"2014";"1";"468";"400";"68";"13_A.ADM1"
"MRI";"2016";"1";"3753";"3509";"244";"5_A.ADM1"
"CT Scanner";"2017";"6";"23185";"17772";"5413";"23_A.ADM1"
"CT Scanner";"2013";"13";"54930";"32618";"22312";"21_A.ADM1"
"CT Scanner";"2014";"6";"18269";"10846";"7423";"10_A.ADM1"
"Gamma Camera (inklusive Szintigraphie und SPECT-Scanner)";"2021";"1";"856";"804";"52";"11_A.ADM1"
"Dialysegeräte";"2018";"8";"3692";"3545";"147";"8_A.ADM1"
"CT Scanner";"2015";"5";"17356";"10285";"7071";"10_A.ADM1"
"MRI";"2020";"10";"38517";"29644";"8873";"12_A.ADM1"
"Dialysegeräte";"2013";"0";"0";"0";"0";"7_A.ADM1"
"Dialysegeräte";"2017";"151";"54216";"48664";"5552";"1_A.ADM1"
"Lithotriptor";"2020";"1";"23";"23";"0";"23_A.ADM1"
"CT Scanner";"2014";"7";"23101";"12324";"10777";"23_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2020";"3";"13119";"12591";"528";"21_A.ADM1"
"Angiographiegeräte";"2018";"0";"0";"0";"0";"16_A.ADM1"
"Lithotriptor";"2018";"2";"204";"145";"59";"17_A.ADM1"
"PET Scanner";"2016";"2";"2725";"2643";"82";"21_A.ADM1"
"MRI";"2016";"4";"8901";"6858";"2043";"23_A.ADM1"
"Dialysegeräte";"2018";"34";"11733";"11039";"694";"24_A.ADM1"
"MRI";"2019";"1";"3312";"3123";"189";"7_A.ADM1"
"CT Scanner";"2021";"14";"59112";"36389";"22723";"25_A.ADM1"
"CT Scanner";"2018";"15";"67269";"41151";"26118";"21_A.ADM1"
"MRI";"2021";"1";"3416";"3313";"103";"6_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2014";"6";"48945";"45819";"3126";"22_A.ADM1"
"Dialysegeräte";"2018";"164";"62344";"57245";"5099";"2_A.ADM1"
"Gamma Camera (inklusive Szintigraphie und SPECT-Scanner)";"2018";"2";"1389";"1252";"137";"20_A.ADM1"
"PET Scanner";"2018";"1";"2403";"1963";"440";"17_A.ADM1"
"Dialysegeräte";"2013";"39";"14925";"11924";"3001";"25_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2020";"0";"0";"0";"0";"4_A.ADM1"
"Gamma Camera (inklusive Szintigraphie und SPECT-Scanner)";"2014";"0";"0";"0";"0";"9_A.ADM1"
"Linearbeschleuniger (Radiotherapie)";"2020";"0";"0";"0";"0";"11_A.ADM1"
"Lithotriptor";"2016";"0";"0";"0";"0";"7_A.ADM1"
"MRI";"2014";"4";"3931";"3284";"647";"11_A.ADM1"
"Lithotriptor";"2018";"0";"0";"0";"0";"15_A.ADM1"
