name;table_name;data_type;description;example_values
straftat;straftaten_aufklaerung;categorical;exakte Bezeichung der Straftat mit Strafgesetz-Artikel-Nummer;"Handel mit militärisch beschlagnahmtem Material (Art. 330)","Straftat - Total"
jahr;straftaten_aufklaerung;categorical;Jahr;2009 bis 2022 jährlich
anzahl_straftaten;straftaten_aufklaerung;numeric;Anzahl aller Straftaten;
anzahl_straftaten_unaufgeklart;straftaten_aufklaerung;numeric;Anzahl der unaufgeklärten Straftaten;
anzahl_straftaten_aufgeklaert;straftaten_aufklaerung;numeric;Anzahl der aufgeklärten Straftaten;
anzahl_straftaten_vollendet;straftaten_aufklaerung;numeric;Anzahl der vollendeten Straftaten;
anzahl_straftaten_vollendet_unaufgeklart;straftaten_aufklaerung;numeric;Anzahl der vollendeten und unaufgeklärten Straftaten;
anzahl_straftaten_vollendet_aufgeklart;straftaten_aufklaerung;numeric;Anzahl der vollendeten und aufgeklärten Straftaten;
anzahl_straftaten_versucht;straftaten_aufklaerung;numeric;Anzahl der versuchten Straftaten;
anzahl_straftaten_versucht_unaufgeklart;straftaten_aufklaerung;numeric;Anzahl der versuchten und unaufgeklärten Straftaten;
anzahl_straftaten_versucht_aufgeklart;straftaten_aufklaerung;numeric;Anzahl der versuchten und aufgeklärten Straftaten;
titel;straftaten_aufklaerung;categorical;Kategorie der Straftat;"Titel: Bestechung"
spatialunit_uid;straftaten_aufklaerung;categorical;Schweiz und Kantone;"1_A.ADM1"
