"straftat";"jahr";"kategorie";"anzahl_straftaten";"anzahl_straftaten_unaufgeklaert";"anzahl_straftaten_aufgeklaert";"anzahl_straftaten_vollendet";"anzahl_straftaten_vollendet_unaufgeklart";"anzahl_straftaten_vollendet_aufgeklart";"anzahl_straftaten_versucht";"anzahl_straftaten_versucht_unaufgeklart";"anzahl_straftaten_versucht_aufgeklart";"spatialunit_uid"
"Check- und Kreditkartenmissbrauch (Art. 148)";"2022";"Vermögen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4_A.ADM1"
"Anwerbung, Ausbildung und Reisen im Hinblick auf eine terroristische Straftat (Art. 260sexies)";"2013";"Öffentlicher Frieden";NA;NA;NA;NA;NA;NA;NA;NA;NA;"11_A.ADM1"
"Berufsgeheimnis in der Forschung am Menschen - bis 2014 Berufsgeheimnis in der medizinischen Forschung (Art. 321bis)";"2017";"Amts- und Berufspflicht";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7_A.ADM1"
"Entweichenlassen von Gefangenen (Art. 319)";"2018";"Amts- und Berufspflicht";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23_A.ADM1"
"Diebstahl ab/aus Fahrzeug (Art. 139)";"2012";"Vermögen";"32";"25";"7";"31";"25";"6";"1";"0";"1";"4_A.ADM1"
"Sachbeschädigung + Diebstahl (Art. 144)";"2016";"Vermögen";"1750";"1303";"447";"1746";"1301";"445";"4";"2";"2";"17_A.ADM1"
"Bruch amtlicher Beschlagnahme (Art. 289)";"2020";"Öffentliche Gewalt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11_A.ADM1"
"Hochverrat (Art. 265)";"2018";"Staat und Landesverteidigung";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2_A.ADM1"
"Ungehorsam gegen amtliche Verfügungen (Art. 292)";"2013";"Öffentliche Gewalt";"9";"0";"9";"9";"0";"9";"0";"0";"0";"16_A.ADM1"
"Förderung der Prostitution (Art. 195)";"2010";"Sexuelle Integrität";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14_A.ADM1"
"Hinderung einer Amtshandlung (Art. 286)";"2019";"Öffentliche Gewalt";"2";"0";"2";"2";"0";"2";"0";"0";"0";"7_A.ADM1"
"Ausnützen der Kenntnis vertraulicher Tatsachen (Art. 161)";"2013";"Vermögen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17_A.ADM1"
"Sexuelle Handlungen mit Minderjährigen gegen Entgelt (Art. 196)";"2020";"Sexuelle Integrität";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7_A.ADM1"
"Vergewaltigung (Art. 190)";"2016";"Sexuelle Integrität";"4";"1";"3";"3";"0";"3";"1";"1";"0";"5_A.ADM1"
"Verursachung einer Explosion (Art. 223)";"2010";"Gemeingefährliche Verbrechen und Vergehen";"1";"1";"0";"0";"0";"0";"1";"1";"0";"9_A.ADM1"
"Verletzung militärischer Geheimnisse (Art. 329)";"2012";"Bundesrechtliche Bestimmungen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14_A.ADM1"
"Hinderung einer Amtshandlung (Art. 286)";"2017";"Öffentliche Gewalt";"67";"0";"67";"67";"0";"67";"0";"0";"0";"11_A.ADM1"
"Ungehorsam dritter Personen im Betreibungs-, Konkurs- und Nachlassverfahren (Art. 324)";"2019";"Bundesrechtliche Bestimmungen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10_A.ADM1"
"Missachtung von Bewährungshilfe oder Weisungen (Art. 295)";"2019";"Öffentliche Gewalt";"9";"0";"9";"9";"0";"9";"0";"0";"0";"0_CH"
"In Umlaufsetzen falschen Geldes (Art. 242)";"2014";"Fälschung Geld, amtliche Wertzeichen, amtliche Zeichen, Mass und Gewicht";"65";"56";"9";"60";"52";"8";"5";"4";"1";"3_A.ADM1"
"Nachmachen von Postwertzeichen ohne Fälschungsabsicht (Art. 328)";"2014";"Bundesrechtliche Bestimmungen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6_A.ADM1"
"Irreführung der Rechtspflege (Art. 304)";"2018";"Rechtspflege";"19";"0";"19";"19";"0";"19";"0";"0";"0";"23_A.ADM1"
"Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)";"2022";"Amts- und Berufspflicht";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25_A.ADM1"
"Diskriminierung und Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)";"2020";"Öffentlicher Frieden";"9";"3";"6";"9";"3";"6";"0";"0";"0";"14_A.ADM1"
"Urkundenfälschung (Art. 251)";"2022";"Urkundenfälschung";"5";"1";"4";"5";"1";"4";"0";"0";"0";"26_A.ADM1"
"Ladendiebstahl (Art. 139)";"2013";"Vermögen";"202";"31";"171";"199";"31";"168";"3";"0";"3";"9_A.ADM1"
"Feindseligkeiten gegen einen Kriegführenden oder fremde Truppen (Art. 300)";"2016";"Störung Beziehungen zum Ausland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7_A.ADM1"
"Falsche Beweisaussage der Partei (Art. 306)";"2018";"Rechtspflege";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11_A.ADM1"
"Nachrichtendienst gegen fremde Staaten (Art. 301)";"2018";"Störung Beziehungen zum Ausland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19_A.ADM1"
"Beleidigung zwischenstaatlicher Organisationen (Art. 297)";"2022";"Störung Beziehungen zum Ausland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2_A.ADM1"
"Ordnungswidrige Führung der Geschäftsbücher (Art. 325)";"2010";"Bundesrechtliche Bestimmungen";"46";"0";"46";"46";"0";"46";"0";"0";"0";"0_CH"
"Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)";"2014";"Volkswille";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6_A.ADM1"
"Sexuelle Handlungen mit Abhängigen (Art. 188)";"2009";"Sexuelle Integrität";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8_A.ADM1"
"Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266)";"2020";"Staat und Landesverteidigung";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25_A.ADM1"
"Verbreiten von Tierseuchen (Art. 232)";"2019";"Öffentliche Gesundheit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12_A.ADM1"
"Check- und Kreditkartenmissbrauch (Art. 148)";"2020";"Vermögen";"1";"1";"0";"1";"1";"0";"0";"0";"0";"8_A.ADM1"
"Rechtswidrige Vereinigung (Art. 275ter)";"2018";"Staat und Landesverteidigung";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23_A.ADM1"
"Herstellen von gesundheitsschädlichem Futter (Art. 235)";"2018";"Öffentliche Gesundheit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2_A.ADM1"
"Üble Nachrede (Art. 173)";"2012";"Ehre-, Geheim-, Privatbereich";"100";"15";"85";"100";"15";"85";"0";"0";"0";"25_A.ADM1"
"Verletzung der Auskunftspflicht der Medien (Art. 322)";"2011";"Amts- und Berufspflicht";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13_A.ADM1"
