"year";"forest_zone";"type_of_owner";"wood_species";"number_of_plantations";"spatialunit_uid"
"2011";"Alps";"Public forest";"Hardwood (deciduous)";"93814";"0_CH"
"1991";"Central Plain";"Type of owners - total";"Softwood (conifers)";"0";"4_A.ADM1"
"2002";"Prealps";"Public forest";"Species - total";"82833";"5_A.ADM1"
"1989";"Alps";"Public forest";"Species - total";"0";"10_A.ADM1"
"2020";"Alps";"Private forest";"Hardwood (deciduous)";"0";"15_A.ADM1"
"2008";"Central Plain";"Private forest";"Species - total";"0";"4_A.ADM1"
"1981";"Prealps";"Type of owners - total";"Species - total";"262029";"17_A.ADM1"
"1984";"Prealps";"Private forest";"Softwood (conifers)";"1900";"15_A.ADM1"
"1975";"Prealps";"Public forest";"Species - total";"235075";"17_A.ADM1"
"2012";"Alps";"Private forest";"Species - total";"1800";"4_A.ADM1"
"2021";"Prealps";"Private forest";"Hardwood (deciduous)";"0";"19_A.ADM1"
"1982";"Jura";"Type of owners - total";"Hardwood (deciduous)";"0";"6_A.ADM1"
"1978";"Central Plain";"Public forest";"Hardwood (deciduous)";"0";"13_A.ADM1"
"1990";"Jura";"Private forest";"Species - total";"0";"10_A.ADM1"
"1977";"Central Plain";"Private forest";"Species - total";"0";"23_A.ADM1"
"2005";"Prealps";"Private forest";"Species - total";"0";"12_A.ADM1"
"1976";"Southern Alps";"Public forest";"Species - total";"0";"4_A.ADM1"
"2008";"Jura";"Private forest";"Species - total";"0";"18_A.ADM1"
"2015";"Prealps";"Public forest";"Species - total";"10135";"6_A.ADM1"
"1992";"Central Plain";"Private forest";"Species - total";"0";"13_A.ADM1"
"1994";"Central Plain";"Private forest";"Species - total";"0";"16_A.ADM1"
"1983";"Prealps";"Type of owners - total";"Species - total";"0";"26_A.ADM1"
"1998";"Southern Alps";"Private forest";"Species - total";"0";"25_A.ADM1"
"2020";"Prealps";"Public forest";"Species - total";"750";"16_A.ADM1"
"1987";"Switzerland";"Private forest";"Species - total";"11050";"18_A.ADM1"
"2004";"Prealps";"Type of owners - total";"Softwood (conifers)";"0";"20_A.ADM1"
"2017";"Central Plain";"Public forest";"Softwood (conifers)";"13838";"1_A.ADM1"
"1990";"Jura";"Public forest";"Species - total";"0";"23_A.ADM1"
"1998";"Prealps";"Private forest";"Hardwood (deciduous)";"0";"12_A.ADM1"
"1981";"Alps";"Type of owners - total";"Species - total";"0";"16_A.ADM1"
"1987";"Jura";"Public forest";"Hardwood (deciduous)";"0";"6_A.ADM1"
"1994";"Southern Alps";"Public forest";"Species - total";"0";"22_A.ADM1"
"2021";"Alps";"Private forest";"Hardwood (deciduous)";"2343";"0_CH"
"1975";"Southern Alps";"Public forest";"Softwood (conifers)";"0";"7_A.ADM1"
"2005";"Alps";"Type of owners - total";"Species - total";"16641";"22_A.ADM1"
"2004";"Switzerland";"Private forest";"Hardwood (deciduous)";"35859";"20_A.ADM1"
"1989";"Alps";"Public forest";"Species - total";"0";"9_A.ADM1"
"1976";"Southern Alps";"Public forest";"Hardwood (deciduous)";"0";"7_A.ADM1"
"1975";"Switzerland";"Private forest";"Softwood (conifers)";"0";"26_A.ADM1"
"1977";"Southern Alps";"Private forest";"Hardwood (deciduous)";"0";"25_A.ADM1"
