name;table_name;data_type;title;title_en;example_values
farmholding_system;employees_farmholdings_agricultural_area_livestock_per_canton;;;;Farmholding system - total,Organic farming,Conventional farming
farmholdings;employees_farmholdings_agricultural_area_livestock_per_canton;;;;48344,48864,49363
employees_total;employees_farmholdings_agricultural_area_livestock_per_canton;;;;149578,150231,149521
full_time_employees_75_percent_or_more;employees_farmholdings_agricultural_area_livestock_per_canton;;;;66349,66453,66333
part_time_employees_50_75_percent;employees_farmholdings_agricultural_area_livestock_per_canton;;;;30083,30038,29920
part_time_employees_2_less_than_50_percent;employees_farmholdings_agricultural_area_livestock_per_canton;;;;53146,53740,53268
employees_men;employees_farmholdings_agricultural_area_livestock_per_canton;;;;94706,95486,95252
employees_women;employees_farmholdings_agricultural_area_livestock_per_canton;;;;54872,54745,54269
employees_women_manager_label;employees_farmholdings_agricultural_area_livestock_per_canton;;;;3472,3362,3233
employees_swiss;employees_farmholdings_agricultural_area_livestock_per_canton;;;;131072,131955,131581
employees_foreign_nationals;employees_farmholdings_agricultural_area_livestock_per_canton;;;;18506,18276,17940
family_employees;employees_farmholdings_agricultural_area_livestock_per_canton;;;;112047,113317,113847
beef_cattle_and_cows_farm;employees_farmholdings_agricultural_area_livestock_per_canton;;;;32581,33091,33662
horse_and_other_equine_farm;employees_farmholdings_agricultural_area_livestock_per_canton;;;;11123,11196,11227
sheep_farm;employees_farmholdings_agricultural_area_livestock_per_canton;;;;7969,7977,8016
goat_farm;employees_farmholdings_agricultural_area_livestock_per_canton;;;;6559,6592,6355
pig_farms;employees_farmholdings_agricultural_area_livestock_per_canton;;;;5467,5561,5600
poultry_farm;employees_farmholdings_agricultural_area_livestock_per_canton;;;;14876,14434,13485
farms_with_other_animals;employees_farmholdings_agricultural_area_livestock_per_canton;;;;6138,6101,6000
utilised_agricultural_area_in_hectares;employees_farmholdings_agricultural_area_livestock_per_canton;;;;1042013.785,1042053.004,1044033.706
arable_land_in_hectares;employees_farmholdings_agricultural_area_livestock_per_canton;;;;276114.0758,276496.4816,274448.9291
grassland_in_hectares;employees_farmholdings_agricultural_area_livestock_per_canton;;;;726091.9808,725854.0912,730039.4586
permanent_crops_in_hectares;employees_farmholdings_agricultural_area_livestock_per_canton;;;;24040.2951,24285.0786,24061.4945
other_utilised_agricultural_area_in_hectares;employees_farmholdings_agricultural_area_livestock_per_canton;;;;15767.4333,15417.3522,15483.8239
livestock_beef_cattle_and_cows;employees_farmholdings_agricultural_area_livestock_per_canton;;;;1525270,1513701,1515123
livestock_horses_and_other_equines;employees_farmholdings_agricultural_area_livestock_per_canton;;;;80950,80096,80072
livestock_sheep;employees_farmholdings_agricultural_area_livestock_per_canton;;;;355893,349112,343528
livestock_goats;employees_farmholdings_agricultural_area_livestock_per_canton;;;;82313,82045,79562
livestock_pigs;employees_farmholdings_agricultural_area_livestock_per_canton;;;;1372772,1366359,1348306
livestock_poultry;employees_farmholdings_agricultural_area_livestock_per_canton;;;;13219724,12676402,12541044
livestock_other_animals;employees_farmholdings_agricultural_area_livestock_per_canton;;;;126789,137616,131876
