"year";"citizenship_category";"total_population";"births";"deaths";"immigration";"in_migration_from_another_canton";"emigration";"out_migration_to_another_canton";"net_migration";"acquisition_of_swiss_citizenship";"statistical_adjustment";"population_change";"spatialunit_uid"
"2012";"Foreign country";"64143";"795";"141";"4994";"2089";"2635";"2075";"2373";"-1695";"-21";"1311";"3_A.ADM1"
"1985";"Citizenship (category) - total";"6455896";"74684";"59583";"98866";"123462";"85029";"123462";"13837";"0";"0";"28938";"0_CH"
"2022";"Foreign country";"2244181";"23815";"8212";"169055";"55156";"90861";"55156";"78194";"-41486";"-469";"51842";"0_CH"
"2016";"Foreign country";"20172";"244";"58";"1410";"642";"602";"579";"871";"-339";"-10";"708";"14_A.ADM1"
"2018";"Citizenship (category) - total";"793129";"8736";"5750";"24830";"10059";"20503";"11496";"2890";"0";"140";"6016";"22_A.ADM1"
"1991";"Foreign country";"13215";"209";"21";"1348";"298";"684";"290";"672";"-114";"0";"746";"9_A.ADM1"
"2016";"Citizenship (category) - total";"398762";"4265";"2844";"7349";"7208";"3974";"7478";"3105";"0";"109";"4635";"3_A.ADM1"
"1986";"Foreign country";"23103";"335";"89";"4221";"469";"1992";"908";"1790";"-353";"0";"1683";"23_A.ADM1"
"2002";"Citizenship (category) - total";"73229";"632";"730";"1113";"1569";"581";"1623";"478";"0";"225";"605";"14_A.ADM1"
"2021";"Switzerland";"250336";"2732";"2126";"700";"5084";"832";"3963";"989";"1224";"-85";"2734";"10_A.ADM1"
"1998";"Foreign country";"36910";"534";"110";"1843";"429";"1785";"405";"82";"-665";"90";"-69";"24_A.ADM1"
"2010";"Switzerland";"58358";"445";"649";"209";"1208";"202";"1049";"166";"436";"-2";"396";"14_A.ADM1"
"2000";"Citizenship (category) - total";"243908";"2430";"2187";"1969";"5332";"1773";"5328";"200";"0";"-336";"107";"11_A.ADM1"
"1984";"Citizenship (category) - total";"272178";"2372";"2508";"3485";"3053";"2701";"2351";"1486";"0";"0";"1350";"21_A.ADM1"
"2015";"Foreign country";"44752";"556";"193";"3010";"896";"1388";"1041";"1477";"-955";"-86";"799";"24_A.ADM1"
"1991";"Foreign country";"32463";"508";"79";"3619";"346";"1742";"393";"1830";"-224";"0";"2035";"24_A.ADM1"
"2018";"Citizenship (category) - total";"406506";"4413";"3140";"6355";"7645";"4578";"7835";"1587";"0";"191";"3051";"3_A.ADM1"
"1982";"Switzerland";"271029";"3569";"2583";"1112";"5401";"960";"5405";"148";"464";"0";"1598";"3_A.ADM1"
"2007";"Citizenship (category) - total";"7508739";"74494";"61089";"165634";"119450";"90175";"119450";"75459";"0";"-4109";"84755";"0_CH"
"2009";"Switzerland";"85097";"884";"603";"361";"2059";"451";"2897";"-928";"513";"44";"-90";"9_A.ADM1"
"2004";"Switzerland";"161141";"1361";"1466";"395";"2474";"516";"2799";"-446";"1077";"-76";"450";"18_A.ADM1"
"2003";"Switzerland";"207660";"2260";"1858";"500";"3573";"593";"2815";"665";"1023";"-137";"1953";"10_A.ADM1"
"2012";"Citizenship (category) - total";"336943";"2839";"2998";"9342";"1904";"4321";"2136";"4789";"0";"79";"4709";"21_A.ADM1"
"1994";"Citizenship (category) - total";"387606";"4635";"3211";"15295";"3344";"12738";"3180";"2721";"0";"-52";"4093";"25_A.ADM1"
"2008";"Switzerland";"476968";"4948";"4675";"2790";"4861";"2913";"5292";"-554";"5630";"0";"5349";"22_A.ADM1"
"1981";"Foreign country";"26647";"264";"106";"2150";"282";"1810";"344";"278";"-404";"0";"32";"24_A.ADM1"
"1984";"Foreign country";"975";"19";"2";"103";"26";"68";"66";"-5";"-7";"0";"5";"16_A.ADM1"
"1986";"Switzerland";"162340";"2265";"1625";"789";"4928";"746";"4716";"255";"363";"0";"1258";"20_A.ADM1"
"2021";"Citizenship (category) - total";"200096";"1793";"1825";"3873";"4216";"2468";"4182";"1439";"0";"-127";"1280";"18_A.ADM1"
"2007";"Switzerland";"160833";"1311";"1576";"448";"2467";"492";"2935";"-512";"375";"323";"-79";"18_A.ADM1"
"1991";"Switzerland";"285945";"3780";"2699";"1184";"3958";"1010";"4161";"-29";"231";"243";"1526";"3_A.ADM1"
"2018";"Citizenship (category) - total";"670988";"6945";"4780";"9536";"15036";"6101";"13161";"5310";"0";"-256";"7219";"19_A.ADM1"
"1989";"Citizenship (category) - total";"106409";"1506";"891";"1439";"2976";"969";"2407";"1039";"0";"0";"1654";"5_A.ADM1"
"1982";"Citizenship (category) - total";"1123840";"12494";"10341";"22517";"18717";"19256";"20312";"1666";"0";"0";"3819";"1_A.ADM1"
"1982";"Switzerland";"58586";"659";"676";"323";"1679";"310";"1745";"-53";"177";"0";"107";"14_A.ADM1"
"1995";"Switzerland";"928909";"9211";"10058";"5025";"13200";"6778";"13838";"-2391";"4046";"-311";"497";"1_A.ADM1"
"2002";"Switzerland";"32236";"333";"300";"61";"335";"56";"493";"-153";"79";"153";"112";"4_A.ADM1"
"1990";"Foreign country";"1122";"25";"2";"158";"18";"91";"84";"1";"-11";"0";"13";"16_A.ADM1"
"1987";"Switzerland";"93450";"1308";"845";"330";"2471";"287";"2143";"371";"101";"0";"935";"5_A.ADM1"
"1987";"Foreign country";"949";"21";"3";"115";"18";"81";"67";"-15";"-11";"0";"-8";"16_A.ADM1"
