"jahr";"quartal";"nationalitat";"anzahl_evangelisch_reformiert";"anzahl_romisch_katholisch";"anzahl_unbekannt_konfession";"anzahl_christkatholisch";"gesamt_anzahl_personen";"spatialunit_uid"
"2014";"3";"Ausland";"2";"6";"11";"0";"19";"2847_A.ADM3"
"2021";"4";"Schweiz";"277";"167";"406";"3";"853";"2826_A.ADM3"
"2008";"3";"Schweiz";"1316";"1863";"995";"8";"4182";"2768_A.ADM3"
"2022";"4";"Ausland";"0";"4";"6";"0";"10";"2890_A.ADM3"
"2011";"1";"Schweiz";"2212";"972";"1177";"20";"4381";"2824_A.ADM3"
"2020";"1";"Schweiz";"295";"74";"108";"0";"477";"2887_A.ADM3"
"2020";"1";"Schweiz";"275";"61";"136";"1";"473";"2885_A.ADM3"
"2023";"1";"Schweiz";"1775";"2408";"3679";"15";"7877";"2761_A.ADM3"
"2006";"4";"Ausland";"8";"49";"37";"0";"94";"2782_A.ADM3"
"2010";"2";"Schweiz";"947";"198";"282";"0";"1427";"2834_A.ADM3"
"2020";"4";"Ausland";"15";"34";"53";"1";"103";"2833_A.ADM3"
"2014";"3";"Schweiz";"2263";"654";"896";"8";"3821";"2823_A.ADM3"
"2006";"2";"Schweiz";"1021";"136";"232";"2";"1391";"2893_A.ADM3"
"2020";"4";"Schweiz";"1554";"1107";"2316";"23";"5000";"2767_A.ADM3"
"2012";"3";"Ausland";"23";"26";"65";"0";"114";"2830_A.ADM3"
"2021";"1";"Schweiz";"314";"32";"113";"0";"459";"2868_A.ADM3"
"2018";"4";"Ausland";"6";"17";"30";"0";"53";"2857_A.ADM3"
"2012";"3";"Schweiz";"2302";"3072";"2525";"18";"7917";"2761_A.ADM3"
"2011";"2";"Ausland";"108";"630";"1047";"0";"1785";"2824_A.ADM3"
"2018";"4";"Ausland";"63";"312";"784";"1";"1160";"2846_A.ADM3"
"2014";"1";"Ausland";"8";"4";"20";"0";"32";"2881_A.ADM3"
"2015";"1";"Schweiz";"155";"22";"68";"1";"246";"2847_A.ADM3"
"2020";"4";"Ausland";"18";"68";"228";"0";"314";"2785_A.ADM3"
"2009";"4";"Schweiz";"47";"158";"52";"0";"257";"2790_A.ADM3"
"2021";"2";"Ausland";"5";"18";"94";"0";"117";"2844_A.ADM3"
"2020";"1";"Schweiz";"498";"83";"241";"1";"823";"2863_A.ADM3"
"2005";"1";"Ausland";"9";"41";"36";"0";"86";"2782_A.ADM3"
"2022";"2";"Ausland";"0";"4";"19";"0";"23";"2848_A.ADM3"
"2013";"1";"Ausland";"50";"363";"699";"3";"1115";"2825_A.ADM3"
"2012";"3";"Ausland";"9";"12";"30";"0";"51";"2866_A.ADM3"
"2006";"3";"Schweiz";"112";"16";"23";"0";"151";"2890_A.ADM3"
"2016";"4";"Ausland";"21";"43";"109";"1";"174";"2888_A.ADM3"
"2011";"4";"Ausland";"132";"794";"1695";"6";"2627";"2769_A.ADM3"
"2013";"2";"Ausland";"26";"91";"236";"0";"353";"2895_A.ADM3"
"2010";"3";"Schweiz";"6309";"3444";"4353";"37";"14143";"2770_A.ADM3"
"2022";"1";"Schweiz";"1153";"1514";"1807";"5";"4479";"2768_A.ADM3"
"2006";"4";"Schweiz";"3193";"2711";"2560";"50";"8514";"2771_A.ADM3"
"2010";"4";"Ausland";"4";"5";"31";"0";"40";"2865_A.ADM3"
"2011";"4";"Schweiz";"312";"175";"223";"2";"712";"2822_A.ADM3"
"2012";"4";"Schweiz";"71";"78";"83";"1";"233";"2783_A.ADM3"
