"jahr";"flache_rebland_rote_europaische_reben_ha";"flache_rebland_kreuzung_rote_weisse_ha";"flache_total";"weinernte_total_hl";"weinernte_rot_europaische_hl";"weinernte_rot_kreuzung_rot_hl";"weinernte_europaische_weiss_hl";"erntewert_rot_1000_chf";"erntewert_weiss_1000_chf";"spatialunit_uid"
"1985";"172";"10";"154";"3552";"1950";"250";"1352";"1046";"525";"19_A.ADM1"
"2013";"272";"0";"119";"19240";"12536";"0";"6704";"7522";"3352";"19_A.ADM1"
"2012";"272";"0";"121";"16410";"10210";"0";"6200";"6126";"3100";"19_A.ADM1"
"1992";"193";"6";"155";"22870";"12010";"220";"10640";"7449";"5113";"19_A.ADM1"
"1990";"192";"7";"153";"21500";"11050";"212";"10238";"6188";"3949";"19_A.ADM1"
"1979";"164";"17";"126";"18650";"9600";"1000";"8050";"3873";"2614";"19_A.ADM1"
"1980";"173";"13";"135";"10500";"5510";"424";"4566";"2498";"1644";"19_A.ADM1"
"2000";"252";"5";"145";"24931";"16139";"248";"8544";"10028";"4352";"19_A.ADM1"
"1999";"247";"3";"145";"27203";"16426";"101";"10676";"9938";"4431";"19_A.ADM1"
"1978";"164";"19";"118";"11690";"5800";"1100";"4790";"2460";"1531";"19_A.ADM1"
"1981";"173";"13";"135";"9000";"4500";"400";"4100";"2219";"1588";"19_A.ADM1"
"1986";"173";"10";"155";"22600";"11000";"670";"10930";"4449";"4027";"19_A.ADM1"
"1982";"176";"9";"139";"24100";"11100";"1050";"11950";"5182";"4536";"19_A.ADM1"
"1984";"172";"10";"154";"16220";"7000";"650";"8570";"3422";"3235";"19_A.ADM1"
"1974";"153";"25";"99";"4630";"2100";"400";"2130";"793";"589";"19_A.ADM1"
"2010";"265";"0";"119";"18540";"12520";"0";"6020";"8856";"3182";"19_A.ADM1"
"1996";"236";"4";"149";"18585";"11075";"120";"7390";"7014";"3556";"19_A.ADM1"
"1993";"226";"3";"154";"17100";"10805";"120";"6175";"6699";"2980";"19_A.ADM1"
"1991";"193";"7";"154";"23770";"12270";"260";"11240";"7607";"5399";"19_A.ADM1"
"2018";"250";"14";"126";"23061";"13861";"795";"8405";"8751";"4383";"19_A.ADM1"
"1983";"171";"12";"151";"25280";"12000";"800";"12480";"5907";"4843";"19_A.ADM1"
"1988";"191";"7";"153";"17700";"9815";"500";"7385";"5512";"2860";"19_A.ADM1"
"2008";"264";"16";"115";"24497";"16144";"0";"8353";"9363";"4511";"19_A.ADM1"
"2019";"244";"16";"119";"16789";"10365";"679";"5744";"5744";"2996";"19_A.ADM1"
"1994";"228";"3";"154";"23279";"13978";"185";"9116";"8667";"4381";"19_A.ADM1"
"1989";"192";"7";"153";"26753";"12622";"300";"13790";"7056";"5346";"19_A.ADM1"
"1987";"175";"10";"155";"9900";"6400";"320";"3180";"3426";"1236";"19_A.ADM1"
"2005";"260";"12";"120";"20166";"13499";"443";"6224";"8120";"3334";"19_A.ADM1"
"2014";"274";"0";"120";"19674";"12769";"0";"6905";"7638";"3453";"19_A.ADM1"
"1998";"242";"3";"144";"19565";"16266";"175";"8098";"7017";"3936";"19_A.ADM1"
"2009";"265";"14";"120";"23490";"15540";"0";"7950";"9013";"4293";"19_A.ADM1"
"1975";"154";"23";"106";"10545";"5000";"1200";"4345";"1979";"1205";"19_A.ADM1"
"2015";"270";"0";"115";"17852";"12138";"0";"5714";"7283";"2857";"19_A.ADM1"
"1977";"164";"20";"117";"16050";"8650";"830";"6570";"3026";"1734";"19_A.ADM1"
"1995";"232";"4";"154";"20981";"12447";"136";"8398";"7726";"4037";"19_A.ADM1"
"2003";"256";"9";"127";"18951";"12101";"206";"6644";"7620";"3654";"19_A.ADM1"
"1973";"150";"26";"91";"19300";"9000";"2700";"7600";"3602";"2083";"19_A.ADM1"
"2011";"272";"0";"123";"20820";"13520";"0";"7300";"8116";"3649";"19_A.ADM1"
"1997";"238";"4";"148";"15165";"9834";"94";"5237";"6105";"2524";"19_A.ADM1"
"2016";"260";"21";"110";"14975";"10183";"1050";"3740";"6410";"2120";"19_A.ADM1"
