"jahr";"total_anzahl_schadenfalle";"total_schaden_1000_chf";"feuerzeug_rauchzeug_licht_anzahl_schadenfalle";"feuerzeug_rauchzeug_licht_schaden_1000_chf";"elektrizitaet_anzahl_schadenfalle";"elektrizitaet_schaden_1000_chf";"vorsatzliche_brandstift_anzahl_schadenfalle";"vorsatzliche_brandstift_schaden_1000_chf";"feuerungsanlagen_anzahl_schadenfalle";"feuerungsanlagen_schaden_1000_chf";"explosion_anzahl_schadenfalle";"explosion_schaden_1000_chf";"uebrige_anzahl_schadenfalle";"uebrige_schaden_1000_chf";"unbekannt_anzahl_schadenfalle";"unbekannt_schaden_1000_chf";"spatialunit_uid"
"1973";"1101";"5341";"18";"127";"91";"392";"16";"137";"49";"198";"69";"581";"829";"2983";"29";"923";"19_A.ADM1"
"1992";"1281";"15679";"162";"1304";"302";"3216";"70";"4113";"49";"843";"56";"371";"621";"4456";"21";"1376";"19_A.ADM1"
"2014";"907";"17557";"112";"1542";"247";"4835";"37";"1727";"52";"573";"54";"681";"339";"1777";"66";"6423";"19_A.ADM1"
"1999";"1150";"21719";"139";"1203";"268";"6270";"34";"2705";"49";"1318";"46";"596";"566";"8100";"48";"1527";"19_A.ADM1"
"2005";"1050";"19779";"158";"4381";"232";"3632";"38";"2715";"78";"2349";"47";"188";"417";"2238";"80";"4276";"19_A.ADM1"
"1974";"949";"7640";"19";"398";"73";"765";"19";"615";"43";"392";"54";"565";"712";"2610";"29";"2295";"19_A.ADM1"
"1991";"1139";"18881";"153";"4258";"277";"3143";"89";"2170";"40";"484";"68";"702";"486";"6248";"26";"1876";"19_A.ADM1"
"1985";"1151";"14250";"160";"1832";"281";"2084";"34";"2626";"66";"949";"121";"903";"451";"2172";"38";"3684";"19_A.ADM1"
"1982";"1629";"11789";"131";"1236";"310";"1212";"41";"1155";"68";"594";"94";"719";"938";"2383";"47";"4490";"19_A.ADM1"
"2016";"842";"15511";"83";"2522";"208";"3372";"23";"46";"48";"174";"29";"76";"402";"3232";"49";"6091";"19_A.ADM1"
"2007";"1006";"22824";"135";"1851";"266";"4120";"54";"2881";"85";"768";"36";"458";"398";"1808";"32";"10938";"19_A.ADM1"
"2021";"796";"18247";"122";"2095";"234";"5083";"14";"214";"67";"1560";"26";"782";"269";"1644";"51";"6751";"19_A.ADM1"
"2012";"800";"27496";"131";"2344";"217";"8174";"31";"559";"67";"1271";"38";"749";"262";"2886";"54";"11513";"19_A.ADM1"
"1989";"1248";"16268";"111";"903";"291";"4387";"62";"1056";"43";"348";"75";"1225";"627";"2899";"39";"5450";"19_A.ADM1"
"1987";"1104";"13030";"128";"776";"275";"1781";"31";"905";"53";"518";"103";"891";"468";"2284";"46";"5875";"19_A.ADM1"
"1997";"1331";"29393";"147";"4156";"304";"7158";"52";"2818";"42";"537";"63";"579";"685";"9365";"38";"4780";"19_A.ADM1"
"1995";"1233";"22604";"143";"1401";"278";"7744";"63";"2062";"29";"177";"74";"1992";"612";"4021";"34";"5207";"19_A.ADM1"
"2000";"1736";"23332";"146";"1030";"254";"6882";"48";"1626";"81";"587";"47";"482";"1040";"3759";"120";"9124";"19_A.ADM1"
"1975";"1517";"8639";"18";"117";"85";"332";"29";"623";"52";"266";"65";"1138";"1236";"3699";"32";"2464";"19_A.ADM1"
"1996";"1180";"17775";"139";"1193";"303";"4359";"68";"1426";"51";"455";"75";"2829";"504";"2455";"40";"5059";"19_A.ADM1"
"2010";"906";"29116";"145";"1746";"252";"4709";"39";"3005";"78";"1546";"32";"165";"299";"1760";"61";"17006";"19_A.ADM1"
"1976";"1067";"9261";"19";"112";"85";"189";"17";"629";"40";"578";"81";"374";"793";"4522";"32";"2857";"19_A.ADM1"
"2011";"964";"19338";"120";"3498";"292";"4637";"20";"137";"62";"847";"59";"2123";"363";"2911";"48";"5176";"19_A.ADM1"
"2002";"1112";"25376";"165";"5714";"266";"9548";"39";"1423";"95";"1407";"67";"429";"451";"2543";"29";"4312";"19_A.ADM1"
"1988";"1232";"21333";"125";"815";"272";"1931";"64";"1134";"45";"356";"77";"1276";"612";"3286";"37";"12535";"19_A.ADM1"
"1977";"1296";"7151";"19";"57";"91";"287";"23";"2133";"22";"83";"77";"461";"1043";"3151";"21";"979";"19_A.ADM1"
"2018";"923";"24074";"104";"2893";"203";"3701";"20";"2435";"64";"1444";"23";"93";"421";"2925";"87";"10357";"19_A.ADM1"
"1986";"1504";"12322";"105";"956";"284";"1649";"53";"2393";"53";"408";"102";"305";"860";"2509";"47";"4100";"19_A.ADM1"
"1994";"1749";"19551";"135";"1532";"279";"4263";"73";"2922";"23";"196";"62";"329";"1138";"4246";"39";"6063";"19_A.ADM1"
"2003";"1140";"29780";"133";"3051";"255";"9628";"50";"1229";"89";"627";"54";"665";"487";"3529";"72";"11071";"19_A.ADM1"
"2004";"1117";"28506";"175";"2507";"270";"1100";"32";"1355";"68";"1009";"58";"600";"451";"5410";"61";"6116";"19_A.ADM1"
"1984";"1199";"14537";"125";"1117";"274";"1104";"40";"341";"64";"473";"78";"1032";"572";"5343";"46";"5127";"19_A.ADM1"
"1983";"1744";"14382";"125";"1042";"309";"2165";"38";"441";"62";"909";"121";"1640";"1048";"2251";"41";"5934";"19_A.ADM1"
"1980";"1244";"11017";"37";"307";"135";"776";"45";"2008";"41";"374";"89";"492";"869";"3647";"28";"3413";"19_A.ADM1"
"1993";"1775";"21277";"164";"1931";"323";"2858";"64";"1708";"35";"398";"85";"4228";"1075";"5577";"29";"4577";"19_A.ADM1"
"1979";"1305";"8529";"12";"41";"105";"473";"37";"1573";"39";"725";"80";"1530";"985";"2759";"47";"1428";"19_A.ADM1"
"2013";"679";"41196";"116";"1437";"241";"4024";"23";"388";"62";"430";"28";"140";"159";"968";"50";"33809";"19_A.ADM1"
"2006";"974";"17906";"121";"1316";"278";"6017";"60";"2300";"100";"868";"44";"1153";"345";"1660";"26";"4592";"19_A.ADM1"
"2008";"992";"23989";"159";"3884";"248";"4353";"31";"758";"87";"2228";"45";"258";"359";"1524";"63";"10984";"19_A.ADM1"
"2015";"855";"15457";"105";"1791";"220";"5754";"24";"326";"59";"1887";"42";"202";"362";"1819";"43";"3678";"19_A.ADM1"
