"jahr";"sektor";"beschaftigte_personen";"spatialunit_uid"
"2015";"Sekundär";"48";"4846_A.ADM3"
"2021";"Sekundär";"221";"4656_A.ADM3"
"2019";"Sekundär";"16";"4826_A.ADM3"
"2011";"Sekundär";"111";"4901_A.ADM3"
"2016";"Sekundär";"191";"4841_A.ADM3"
"2021";"Sekundär";"52";"4691_A.ADM3"
"2021";"Tertiär";"325";"4656_A.ADM3"
"2016";"Sekundär";"441";"4501_A.ADM3"
"2018";"Primär";"103";"4656_A.ADM3"
"2015";"Tertiär";"790";"4421_A.ADM3"
"2020";"Primär";"362";"4411_A.ADM3"
"2014";"Tertiär";"213";"4881_A.ADM3"
"2015";"Sekundär";"38";"4723_A.ADM3"
"2013";"Tertiär";"443";"4841_A.ADM3"
"2013";"Primär";"171";"4616_A.ADM3"
"2011";"Sekundär";"59";"4606_A.ADM3"
"2015";"Tertiär";"565";"4501_A.ADM3"
"2018";"Sekundär";"33";"4811_A.ADM3"
"2012";"Primär";"38";"4864_A.ADM3"
"2018";"Primär";"148";"4696_A.ADM3"
"2018";"Primär";"105";"4761_A.ADM3"
"2012";"Sekundär";"53";"4451_A.ADM3"
"2015";"Tertiär";"432";"4711_A.ADM3"
"2020";"Sekundär";"1084";"4761_A.ADM3"
"2018";"Tertiär";"613";"4501_A.ADM3"
"2019";"Tertiär";"135";"4756_A.ADM3"
"2021";"Tertiär";"4871";"4401_A.ADM3"
"2014";"Tertiär";"1008";"4411_A.ADM3"
"2018";"Primär";"67";"4621_A.ADM3"
"2012";"Sekundär";"206";"4486_A.ADM3"
"2018";"Tertiär";"3785";"4436_A.ADM3"
"2020";"Primär";"187";"4431_A.ADM3"
"2014";"Tertiär";"438";"4711_A.ADM3"
"2014";"Sekundär";"599";"4711_A.ADM3"
"2018";"Tertiär";"916";"4506_A.ADM3"
"2021";"Primär";"310";"4536_A.ADM3"
"2021";"Primär";"109";"4723_A.ADM3"
"2013";"Sekundär";"92";"4791_A.ADM3"
"2012";"Sekundär";"1966";"4946_A.ADM3"
"2019";"Primär";"121";"4946_A.ADM3"
