"year";"emissions_in_million_tons_co2_equivalent";"spatialunit_uid"
"2000";"117.900561800408";"0_CH"
"2001";"124.988577521869";"0_CH"
"2002";"113.053479200073";"0_CH"
"2003";"110.109184389399";"0_CH"
"2004";"110.478784016158";"0_CH"
"2005";"117.052174033767";"0_CH"
"2006";"119.933094591473";"0_CH"
"2007";"116.249266073044";"0_CH"
"2008";"111.692972688845";"0_CH"
"2009";"109.591617735461";"0_CH"
"2010";"116.565819430169";"0_CH"
"2011";"121.76938165675";"0_CH"
"2012";"123.007717016083";"0_CH"
"2013";"121.618432008404";"0_CH"
"2014";"115.714828701015";"0_CH"
"2015";"116.441983937073";"0_CH"
"2016";"119.751984379872";"0_CH"
"2017";"116.21843319733";"0_CH"
"2018";"114.208505504107";"0_CH"
"2019";"115.057224876616";"0_CH"
"2020";"103.135249514245";"0_CH"
