"jahr";"anteil_sozialhilfeempfanger";"anteil_auslander";"anteil_personen_ohne_religionszugehorigkeit";"anteil_personen_in_einpersonenhaushalten";"gymnasialquote_anteil_progymnasium";"altersquotient_uber_64_jahr";"anteil_sesshafte_10_jahr";"jugendquotient_unter_20_jahr";"baujahr_der_wohngebaude";"anteil_einfamilienhauser";"anteil_grunflachen";"flache_pro_wohnung_m2";"wohnflache_pro_person_m2";"vermogenssteuer_pro_veranlagung";"einkommenssteuer_pro_veranlagung";"erwerbstatigenquote";"arbeitsplatze_pro_einwohner";"arbeitslosenquote";"spatialunit_uid"
"2021";"0.0151898734";"0.2523206751";NA;"0.1245454545";"0.375";"0.4409090909";"0.4270042194";"0.3545454545";"1962.49350649351";"0.788961038961";"0.9021220471";"120.795634920634";"52.64";"14573.8";"20650";"0.7384675";"0.2618170378";NA;"1230_A.ADM4"
"2021";"0.0757616177";"0.431681161";NA;"0.2387184116";"0.303703704";"0.2296003166";"0.3206251352";"0.2538187574";"1933.35926170073";"0.247857613711";"0.2821844968";"72.100997136933";"36.915613718";"640.6";"7019.2";"0.7039822";"1.0875585544";NA;"1211_A.ADM4"
"2020";"0.0817625459";"0.4695226438";NA;"0.2765625";"0.2708333333";"0.3398717465";"0.3211750306";"0.2010562052";"1929.2055336";"0.023715415";"0.159184092";"66.592351152";"36.610416667";"534.92269737";"6316.6652961";"0.6679853567";"0.6108446086";NA;"1213_A.ADM4"
"2015";"0.022092075";"0.2103195196";"0.4554822448";"0.2249736565";"0.6091370558";"0.3746287129";"0.4218251909";"0.2948019802";"1934.0255898";"0.5617752899";"0.4086191053";"93.17958042";"47.396467";"1632.6508096";"11363.577884";"0.7900055569";"0.1900611389";"0.0236359502";"1208_A.ADM4"
"2015";"0.0374269006";"0.2742690058";"0.4869883041";"0.3019398786";"0.5679012346";"0.3534927332";"0.3606725146";"0.2498827942";"1924.4623984";"0.368902439";"0.3251091924";"75.18842002";"42.361168";"4632.3497124";"9551.3314957";"0.7500905263";"0.3191841201";"0.0259751729";"1209_A.ADM4"
"2016";"0.0324412003";"0.3684103812";"0.5419708029";"0.3306934932";"0.6666666667";"0.379525593";"0.2761557178";"0.1598002497";"1898.6623616";"0.0793357934";"0.1959563245";"82.064324002";"50.417294042";"7828.9125886";"16127.909889";"0.8100294788";"4.5909770873";"0.0242808282";"1202_A.ADM4"
"2015";"0.0887751873";"0.4378626437";"0.447884798";"0.235626819";"0.3183279743";"0.2253960821";"0.3009811162";"0.2541949582";"1932.9380356";"0.2478576137";"0.2731269759";"71.828334333";"36.619708";"450.47423073";"6181.2197771";"0.7038177893";"1.0037327588";"0.0492902629";"1211_A.ADM4"
"2020";"0.0344634613";"0.2711374341";NA;"0.1654124663";"0.5315533981";"0.4781593288";"0.4244741874";"0.3766110198";"1958.197789";"0.655371305";"0.7962399194";"102.65163386";"47.486109139";"4071.7150021";"12931.639783";"0.7503934401";"0.1588472385";NA;"1220_A.ADM4"
"2016";"0.0469791204";"0.2202354509";"0.4796756997";"0.1888775856";"0.2848101266";"0.4476663357";"0.415926255";"0.3406156902";"1941.6778481";"0.6974683544";"0.5876235025";"81.240291262";"39.170436553";"681.39708738";"7150.8539806";"0.7290199848";"0.3431629351";"0.0369978956";"1215_A.ADM4"
"2023";"0.0156934307";"0.3244525547";NA;"0.3105504587";"0.4737";"0.2937763713";"0.3005679336";"0.151371308";"1822.14763779527";"0.104330708661";"0.067";"87.866917";"52.6";"5644.8";"18543.7";"0.7996012";"3.6446443";NA;"1201_A.ADM4"
"2015";"0.0316351684";"0.3533278554";"0.532251438";"0.3458125947";"0.6363636364";"0.3747263059";"0.2791700904";"0.1479512043";"1899.0979667";"0.0757855823";"0.1941983862";"81.803421369";"51.200218";"4902.3171399";"14894.945946";"0.779869044";"4.5307181938";"0.0234714672";"1202_A.ADM4"
