name;table_name;data_type;title;title_en;example_values
energietraeger;energiebilanz_schweiz_in_tera_joule;categorical;Energieträger;Energy source;"Elektrizität","Müll und Industrieabfälle","Wasserkraft"
terajoule_bruttoverbrauch;energiebilanz_schweiz_in_tera_joule;numerical;Bruttoverbrauch in Terajoule;Gross consumption in terajoules;
terajoule_verbrauch_energiesektor_netzverluste_speicherungen;energiebilanz_schweiz_in_tera_joule;numerical;Eigenverbrauch des Energiesektors netzverluste verbrauch der Speicherungen;own consumption of the energy sector grid losses consumption of the storages;
terajoule_endverbrauch_dienstleistungen;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Dienstleistungen in Terajoule;End use services in Terajoule;
terajoule_endverbrauch_haushalte;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Haushalte in Terajoule;Final consumption households in terajoules;
terajoule_endverbrauch_industrie;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Industrie in Terajoule;Final consumption industry in terajoules;
terajoule_endverbrauch_statistische_differenz_landwirtschaft;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Statistische Different inklusive Landwirtschaft in Terajoule;Final consumption Statistical Different including agriculture in terajoules;
terajoule_endverbrauch_total;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Total in Terajoule;Final consumption Total in terajoules;
terajoule_endverbrauch_verkehr;energiebilanz_schweiz_in_tera_joule;numerical;Endverbrauch Verkehr in Terajoule;Final consumption traffic in terajoules;
terajoule_export;energiebilanz_schweiz_in_tera_joule;numerical;Import in Terajoule;Import in terajoules;
terajoule_import;energiebilanz_schweiz_in_tera_joule;numerical;Export in Terajoule;Export in terajoules;
terajoule_inlandproduktion;energiebilanz_schweiz_in_tera_joule;numerical;Inlandproduktion in Terajoule;Domestic production in terajoules;
terajoule_lagerveranderung;energiebilanz_schweiz_in_tera_joule;numerical;Lagerveranderung in Terajoule;Stock change in terajoules;
terajoule_nichtenergetischer_verbrauch;energiebilanz_schweiz_in_tera_joule;numerical;Nichtenergetischer Verbrauch in Terajoule;Non-energy consumption in terajoules;
