"jahr";"partei";"anzahl_parteistimmen";"anzahl_fiktive_wahlende";"parteistarke_in_prozent";"spatialunit_uid"
"1987";"FDP";"2477533";"71370";"20.33";"1_A.ADM1"
"2015";"FPS";NA;NA;NA;"19_A.ADM1"
"1971";"Sep.";NA;NA;NA;"10_A.ADM1"
"1971";"FGA";NA;NA;NA;"0_CH"
"1979";"Übrige";"18876";"1362";"1.12";"19_A.ADM1"
"1991";"LPS";"185484";"17317";"22.12";"25_A.ADM1"
"1979";"SD";NA;NA;NA;"8_A.ADM1"
"2011";"LdU";NA;NA;NA;"15_A.ADM1"
"1987";"Sep.";NA;NA;NA;"12_A.ADM1"
"2003";"FPS";NA;NA;NA;"23_A.ADM1"
"1971";"SD";NA;NA;NA;"24_A.ADM1"
"2019";"MCR";NA;NA;NA;"22_A.ADM1"
"2019";"SD";"4006";"338";"0.25";"17_A.ADM1"
"1983";"SP";"120588";"13476";"11.74";"3_A.ADM1"
"1999";"SP";"66011";"13344";"26.63";"18_A.ADM1"
"2007";"CSP";NA;NA;NA;"4_A.ADM1"
"2015";"FDP";NA;NA;NA;"16_A.ADM1"
"2007";"Sol.";NA;NA;NA;"2_A.ADM1"
"2015";"Sol.";NA;NA;NA;"19_A.ADM1"
"1971";"Sep.";NA;NA;NA;"11_A.ADM1"
"1983";"POCH";NA;NA;NA;"20_A.ADM1"
"2015";"Sol.";NA;NA;NA;"11_A.ADM1"
"1979";"FDP";"16062";"8035";"32.78";"9_A.ADM1"
"1999";"FDP";"119120";"17305";"18.83";"23_A.ADM1"
"1999";"FGA";NA;NA;NA;"14_A.ADM1"
"2003";"Sol.";NA;NA;NA;"15_A.ADM1"
"1991";"Lega";NA;NA;NA;"19_A.ADM1"
"1979";"SP";"221052";"18557";"17.96";"17_A.ADM1"
"1991";"PdA";NA;NA;NA;"1_A.ADM1"
"1999";"GPS";NA;NA;NA;"18_A.ADM1"
"1975";"GLP";NA;NA;NA;"26_A.ADM1"
"1971";"GPS";NA;NA;NA;"17_A.ADM1"
"1987";"GPS";NA;NA;NA;"18_A.ADM1"
"2007";"EVP";NA;NA;NA;"7_A.ADM1"
"1999";"CSP";NA;NA;NA;"11_A.ADM1"
"1983";"LPS";NA;NA;NA;"15_A.ADM1"
"1975";"Sep.";NA;NA;NA;"22_A.ADM1"
"1987";"Sol.";NA;NA;NA;"7_A.ADM1"
"2019";"POCH";NA;NA;NA;"2_A.ADM1"
"1979";"BDP";NA;NA;NA;"1_A.ADM1"
