"jahr";"verbrauchskategorie";"verbrauchskategorie_grosse_kwh_pro_jahr";"verbrauchskategorie_beschreibung";"energieprodukt";"mittlerer_preis_rappen_pro_kwh";"spatialunit_uid"
"2023";"H3";"4500";"4'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd und Elektroboiler";"Günstigstes Produkt";"30.701904";"8_A.ADM1"
"2014";"H7";"13000";"13'000 kWh/Jahr: 5-Zimmer-Einfamilienhaus mit Elektroherd' Elektroboiler' Tumbler' Wärmepumpe 5 kW zur Beheizung";"Standardprodukt";"18.654373";"22_A.ADM1"
"2015";"C6";"1500000";"1'500'000 kWh/Jahr: Grosser Betrieb' max. beanspruchte Leistung: 400 kW' Mittelspannung' eigene Transformatorenstation";"Standardprodukt";"10.79942";"15_A.ADM1"
"2023";"H7";"13000";"13'000 kWh/Jahr: 5-Zimmer-Einfamilienhaus mit Elektroherd' Elektroboiler' Tumbler' Wärmepumpe 5 kW zur Beheizung";"Günstigstes Produkt";"22.48883";"19_A.ADM1"
"2015";"C4";"5e+05";"500'000 kWh/Jahr: Grosser Betrieb ' max. beanspruchte Leistung: 150 kW' Niederspannung";"Standardprodukt";"15.767257";"3_A.ADM1"
"2021";"H4";"4500";"4'500 kWh/Jahr: 5-Zimmerwohnung mit Elektroherd und Tumbler (ohne Elektroboiler)";"Standardprodukt";"21.156578";"10_A.ADM1"
"2022";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Standardprodukt";"25.365833";"18_A.ADM1"
"2012";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Standardprodukt";"24.0088";"26_A.ADM1"
"2017";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Standardprodukt";"20.61228";"5_A.ADM1"
"2021";"H4";"4500";"4'500 kWh/Jahr: 5-Zimmerwohnung mit Elektroherd und Tumbler (ohne Elektroboiler)";"Standardprodukt";"21.444033";"24_A.ADM1"
"2024";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Günstigstes Produkt";"32.17";"21_A.ADM1"
"2018";"C2";"30000";"30'000 kWh/Jahr: Kleinbetrieb' max. beanspruchte Leistung: 15 kW";"Günstigstes Produkt";"17.559668";"1_A.ADM1"
"2011";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Standardprodukt";"20.2952";"5_A.ADM1"
"2018";"H3";"4500";"4'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd und Elektroboiler";"Standardprodukt";"15.552444";"1_A.ADM1"
"2013";"H3";"4500";"4'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd und Elektroboiler";"Standardprodukt";"17.090666";"5_A.ADM1"
"2022";"C3";"150000";"150'000 kWh/Jahr: Mittlerer Betrieb' max. beanspruchte Leistung: 50 kW";"Standardprodukt";"17.831333";"13_A.ADM1"
"2022";"H7";"13000";"13'000 kWh/Jahr: 5-Zimmer-Einfamilienhaus mit Elektroherd' Elektroboiler' Tumbler' Wärmepumpe 5 kW zur Beheizung";"Standardprodukt";"21.21";"2_A.ADM1"
"2012";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Standardprodukt";"25.631224";"14_A.ADM1"
"2023";"H3";"4500";"4'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd und Elektroboiler";"Günstigstes Produkt";"24.5";"26_A.ADM1"
"2018";"H4";"4500";"4'500 kWh/Jahr: 5-Zimmerwohnung mit Elektroherd und Tumbler (ohne Elektroboiler)";"Standardprodukt";"20.390497";"25_A.ADM1"
"2013";"H4";"4500";"4'500 kWh/Jahr: 5-Zimmerwohnung mit Elektroherd und Tumbler (ohne Elektroboiler)";"Standardprodukt";"18.116667";"23_A.ADM1"
"2024";"C3";"150000";"150'000 kWh/Jahr: Mittlerer Betrieb' max. beanspruchte Leistung: 50 kW";"Günstigstes Produkt";"25.63776";"11_A.ADM1"
"2012";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Standardprodukt";"26.17817";"13_A.ADM1"
"2022";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Standardprodukt";"23.835";"7_A.ADM1"
"2021";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Günstigstes Produkt";"22.5872";"5_A.ADM1"
"2022";"C4";"5e+05";"500'000 kWh/Jahr: Grosser Betrieb ' max. beanspruchte Leistung: 150 kW' Niederspannung";"Standardprodukt";"18.449";"25_A.ADM1"
"2011";"C2";"30000";"30'000 kWh/Jahr: Kleinbetrieb' max. beanspruchte Leistung: 15 kW";"Standardprodukt";"17.996616";"20_A.ADM1"
"2022";"H5";"7500";"7'500 kWh/Jahr: 5-Zimmer-Einfamilienhaus mit Elektroherd' Elektroboiler und Tumbler";"Standardprodukt";"18.731";"3_A.ADM1"
"2021";"C6";"1500000";"1'500'000 kWh/Jahr: Grosser Betrieb' max. beanspruchte Leistung: 400 kW' Mittelspannung' eigene Transformatorenstation";"Standardprodukt";"14.653178";"6_A.ADM1"
"2016";"H5";"7500";"7'500 kWh/Jahr: 5-Zimmer-Einfamilienhaus mit Elektroherd' Elektroboiler und Tumbler";"Standardprodukt";"19.53232";"24_A.ADM1"
"2021";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Standardprodukt";"25.7";"24_A.ADM1"
"2012";"C6";"1500000";"1'500'000 kWh/Jahr: Grosser Betrieb' max. beanspruchte Leistung: 400 kW' Mittelspannung' eigene Transformatorenstation";"Standardprodukt";"14.209";"6_A.ADM1"
"2016";"C3";"150000";"150'000 kWh/Jahr: Mittlerer Betrieb' max. beanspruchte Leistung: 50 kW";"Standardprodukt";"18.516666";"8_A.ADM1"
"2013";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Standardprodukt";"21.06";"8_A.ADM1"
"2021";"H2";"2500";"2'500 kWh/Jahr: 4-Zimmerwohnung mit Elektroherd";"Standardprodukt";"28.96";"26_A.ADM1"
"2013";"H8";"7500";"7'500 kWh/Jahr: Grosse' hoch elektrifizierte Eigentumswohnung";"Standardprodukt";"18.424267";"9_A.ADM1"
"2015";"C7";"7500000";"7'500'000 kWh/Jahr: Grosser Betrieb' max. beanspruchte Leistung: 1'630 kW' Mittelspannung' eigene Transformatorenstation";"Standardprodukt";"15.120703";"25_A.ADM1"
"2024";"C4";"5e+05";"500'000 kWh/Jahr: Grosser Betrieb ' max. beanspruchte Leistung: 150 kW' Niederspannung";"Standardprodukt";"27.47588";"15_A.ADM1"
"2020";"H1";"1600";"1'600 kWh/Jahr: 2-Zimmerwohnung mit Elektroherd";"Günstigstes Produkt";"27.492332";"24_A.ADM1"
"2021";"C7";"7500000";"7'500'000 kWh/Jahr: Grosser Betrieb' max. beanspruchte Leistung: 1'630 kW' Mittelspannung' eigene Transformatorenstation";"Günstigstes Produkt";"13.236759";"20_A.ADM1"
